Type,Yarn#,Description,Pounds,Mill,Usage,Loss%,Lbs/Wk,MillStyle,
Dye,22G-985,GREEN,212,W,,1,,    996-24387-1   ,
Dye,22G-AA4,TURQ. MBDC,38,W,,1,,   1005-24041-1   ,
Dye,22G-AC7,BLUE,478,W,,1,,    996-24025-1   ,
Dye,22G-AC7,BLUE,117,W,,1,,    996-24387-1   ,
Dye,22G-AC8,GREEN,554,W,,1,,    996-24025-1   ,
Dye,22G-C85,BONE,142,W,,1,,   1001-23935-1   ,
Dye,22G-C85,BONE,284,W,,1,,   1001-23935-2   ,
Dye,22G-C85,BONE,285,W,,1,,   1001-23935-3   ,
Dye,22G-C85,BONE,142,W,,1,,   1001-23935-4   ,
Dye,22G-C85,BONE,285,W,,1,,   1001-23935-5   ,
Dye,22G-C85,BONE,592,W,,1,,    996-24226-1   ,
Dye,22G-C85,BONE,45,W,,1,,   1001-24183-1   ,
Dye,22G-D58,BROWN,32,W,,1,,   1001-24298-2   ,
Dye,22G-G13,TAN MBDL,600,W,,1,,    996-20549-1   ,
Dye,22G-H16,BLUE MBDC,309,W,,1,,    996-23659-1   ,
Dye,22G-J21,GREEN MBDC,309,W,,1,,    996-23659-1   ,
Dye,22G-K41,GREEN MBDC,78,W,,1,,    996-24226-1   ,
Dye,22G-K53,BROWN,38,W,,1,,   1005-24041-1   ,
Dye,22G-K55,YELLOW,457,W,,1,,    996-22086-1   ,
Dye,22G-K59,TAN,298,W,,1,,    996-22086-1   ,
Dye,22G-K77,BLUE MBDC,1879,W,,1,,   1001-24147-2   ,
Dye,22G-K77,BLUE MBDC,32,W,,1,,   1001-24298-1   ,
Dye,22G-K92,GREEN,101,W,,1,,   1001-24183-2   ,
Dye,22G-L20,TAN MBDC,96,W,,1,,   1001-24146-1   ,
Dye,22G-L32,PINK,995,W,,1,,    996-22086-1   ,
Dye,22G-L62,YELLOWMBDC,111,W,,1,,   1001-24145-1   ,
Dye,22G-L62,YELLOWMBDC,45,W,,1,,   1001-24183-2   ,
Dye,22G-L62,YELLOWMBDC,46,W,,1,,    996-24387-1   ,
Dye,22G-L65,GREEN MBDC,309,W,,1,,    996-23659-1   ,
Dye,22G-L65,GREEN MBDC,3440,W,,1,,    999-23517-4   ,
Dye,22G-L77,RED,771,W,,1,,    996-24438-2   ,
Dye,25A-102,BLACK,2680,W,,1,,   7675-21376-1   ,
Dye,25A-102,BLACK,222,W,,1,,   7675-23590-1   ,
Dye,25A-102,BLACK,322,W,,1,,   7675-21510-1   ,
Dye,25A-102,BLACK,2880,W,,1,,   7675-22793-1   ,
Dye,25A-102,BLACK,162,W,,1,,   7734-23980-1   ,
Dye,25A-102,BLACK,1815,W,,1,,   7675-23951-1   ,
Dye,25A-102,BLACK,1144,W,,1,,   7675-21971-1   ,
Dye,25A-102,BLACK,504,W,,1,,   7675-21406-1   ,
Dye,25A-102,BLACK,374,W,,1,,   7393A22822-1   ,
Dye,25A-102,BLACK,1729,W,,1,,   7393A23313-1   ,
Dye,25A-102,BLACK,2189,W,,1,,   7393A23719-1   ,
Dye,25A-102,BLACK,218,W,,1,,   7675-20650-1   ,
Dye,25A-112,BLUE,138,W,,1,,   7734-23981-1   ,
Dye,25A-140,NAVY,627,W,,1,,   7675-23590-2   ,
Dye,25A-140,NAVY,697,W,,1,,   7675-23953-1   ,
Dye,25A-140,NAVY,1149,W,,1,,   7393A24132-1   ,
Dye,25A-148,NAVY,1556,W,,1,,   7675-23590-2   ,
Dye,25A-150,BROWN,504,W,,1,,   7675-23136-1   ,
