Type,Yarn#,Description,Pounds,,Usage,,,Lbs/Wk,MillStyle,,
Pur,PE5-011,WHITE NAT.,355,,PkgDye,,,0,    642A23842-1   ,,
Pur,PE5-011,WHITE NAT.,829,,,,,0,    485A23867-1   ,,
Pur,PE5-011,WHITE NAT.,837,,PkgDye,,,0,    485A23867-1   ,,
Pur,PE5-011,WHITE NAT.,361,,PkgDye,,,0,    641A23783-1   ,,
Pur,PE5-011,WHITE NAT.,228,,,,,0,    485A23924-1   ,,
Pur,PE5-011,WHITE NAT.,248,,PkgDye,,,0,    485A23924-1   ,,
Pur,PE5-011,WHITE NAT.,55,,,,,0,    641A23928-1   ,,
Pur,PE5-011,WHITE NAT.,652,,PkgDye,,,0,    641A23928-1   ,,
Pur,PE5-011,WHITE NAT.,180,,PkgDye,,,0,    641A23929-1   ,,
Pur,PE5-011,WHITE NAT.,2,,,,,0,    641A23930-1   ,,
Pur,PE5-011,WHITE NAT.,710,,PkgDye,,,0,    641A23930-1   ,,
Pur,PE5-011,WHITE NAT.,817,,PkgDye,,,0,    782A23938-1   ,,
Pur,PE5-011,WHITE NAT.,24253,,,,,0,    715A18108-GRG ,,
Pur,PE5-011,WHITE NAT.,3779,,,,,0,    747A23886-GRG ,,
Pur,PE5-011,WHITE NAT.,38,,PkgDye,,,0,    747A23998-1   ,,
Pur,PE5-011,WHITE NAT.,797,,,,,0,    497A24031-1   ,,
Pur,PE5-011,WHITE NAT.,931,,PkgDye,,,0,    497A24031-1   ,,
Pur,PE5-011,WHITE NAT.,203,,,,,0,    642A24046-1   ,,
Pur,PE5-011,WHITE NAT.,205,,PkgDye,,,0,    642A24046-1   ,,
Pur,PE5-011,WHITE NAT.,1744,,PkgDye,,,0,    497A24056-1   ,,
Pur,PE5-011,WHITE NAT.,412,,PkgDye,,,0,    491A24073-1   ,,
Pur,PE5-011,WHITE NAT.,719,,PkgDye,,,0,    491A24074-1   ,,
Pur,PE5-011,WHITE NAT.,564,,,,,0,    747A24129-1   ,,
Pur,PE5-011,WHITE NAT.,1239,,PkgDye,,,0,    642A24130-1   ,,
Pur,PE5-011,WHITE NAT.,826,,PkgDye,,,0,    642A24130-2   ,,
Pur,PE5-011,WHITE NAT.,170,,,,,0,    641A23634-5   ,,
Pur,PE5-011,WHITE NAT.,187,,PkgDye,,,0,    641A23634-5   ,,
Pur,PE5-011,WHITE NAT.,187,,PkgDye,,,0,    641A23634-6   ,,
Pur,PE5-011,WHITE NAT.,12,,,,,0,    642A24154-1   ,,
Pur,PE5-011,WHITE NAT.,600,,PkgDye,,,0,    642A24154-1   ,,
Pur,PE5-011,WHITE NAT.,27,,,,,0,    642A24155-1   ,,
Pur,PE5-011,WHITE NAT.,792,,PkgDye,,,0,    642A24155-1   ,,
Pur,PE5-011,WHITE NAT.,1018,,PkgDye,,,0,    642A23068-1   ,,
Pur,PE5-011,WHITE NAT.,720,,PkgDye,,,0,    641A16559-3   ,,
Pur,PE5-011,WHITE NAT.,1036,,,,,0,    495A24265-GRG ,,
Pur,PE5-011,WHITE NAT.,87,,,,,0,    641A23739-3   ,,
Pur,PE5-011,WHITE NAT.,199,,PkgDye,,,0,    641A23739-3   ,,
Pur,PE5-011,WHITE NAT.,339,,PkgDye,,,0,    641A23739-4   ,,
Pur,PE5-011,WHITE NAT.,59,,,,,0,    641A23741-2   ,,
Pur,PE5-011,WHITE NAT.,303,,PkgDye,,,0,    641A23741-2   ,,
Pur,PE5-011,WHITE NAT.,721,,PkgDye,,,0,    641A24107-1   ,,
Pur,PE5-011,WHITE NAT.,43,,,,,0,    641A24108-1   ,,
Pur,PE5-011,WHITE NAT.,317,,PkgDye,,,0,    641A24108-1   ,,
Pur,PE5-011,WHITE NAT.,716,,PkgDye,,,0,    641A24109-1   ,,
Pur,PE5-011,WHITE NAT.,202,,,,,0,    642A23418-2   ,,
Pur,PE5-011,WHITE NAT.,205,,PkgDye,,,0,    642A23418-2   ,,
Pur,PE5-011,WHITE NAT.,202,,,,,0,    642A23418-3   ,,
